infinitive_english,infinitive,mood,mood_english,tense,tense_english,verb_english,1st person singular,2nd person singular,3rd person singular,1st person plural,2nd person plural,third person plural,gerund,pastparticiple
"to abandon, leave behind, desert to quit, give up",abandonar,Indicativo,Indicative,Presente,Present,"I abandon, am abandoning",abandono,abandonas,abandona,abandonamos,abandonáis,abandonan,abandonando,abandonado
"to abandon, leave behind, desert to quit, give up",abandonar,Indicativo,Indicative,Futuro,Future,I will abandon,abandonaré,abandonarás,abandonará,abandonaremos,abandonaréis,abandonarán,abandonando,abandonado
"to abandon, leave behind, desert to quit, give up",abandonar,Indicativo,Indicative,Imperfecto,Imperfect,"I was abandoning, used to abandon, abandoned",abandonaba,abandonabas,abandonaba,abandonábamos,abandonabais,abandonaban,abandonando,abandonado
"to abandon, leave behind, desert to quit, give up",abandonar,Indicativo,Indicative,Pretérito,Preterite,I abandoned,abandoné,abandonaste,abandonó,abandonamos,abandonasteis,abandonaron,abandonando,abandonado
"to abandon, leave behind, desert to quit, give up",abandonar,Indicativo,Indicative,Condicional,Conditional,I would abandon,abandonaría,abandonarías,abandonaría,abandonaríamos,abandonaríais,abandonarían,abandonando,abandonado
"to abandon, leave behind, desert to quit, give up",abandonar,Indicativo,Indicative,Presente perfecto,Present Perfect,I have abandoned,he abandonado,has abandonado,ha abandonado,hemos abandonado,habéis abandonado,han abandonado,abandonando,abandonado
"to abandon, leave behind, desert to quit, give up",abandonar,Indicativo,Indicative,Futuro perfecto,Future Perfect,I will have abandoned,habré abandonado,habrás abandonado,habrá abandonado,habremos abandonado,habréis abandonado,habrán abandonado,abandonando,abandonado
"to abandon, leave behind, desert to quit, give up",abandonar,Indicativo,Indicative,Pluscuamperfecto,Past Perfect,I had abandoned,había abandonado,habías abandonado,había abandonado,habíamos abandonado,habíais abandonado,habían abandonado,abandonando,abandonado
"to abandon, leave behind, desert to quit, give up",abandonar,Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),I had abandoned,hube abandonado,hubiste abandonado,hubo abandonado,hubimos abandonado,hubisteis abandonado,hubieron abandonado,abandonando,abandonado
"to abandon, leave behind, desert to quit, give up",abandonar,Indicativo,Indicative,Condicional perfecto,Conditional Perfect,I would have abandoned,habría abandonado,habrías abandonado,habría abandonado,habríamos abandonado,habríais abandonado,habrían abandonado,abandonando,abandonado
